日期,收盤價,開市,高,低,成交量,更改%,報酬
2016年10月6日,611,611.8,612.7,608.5,21.63K,-0.14%,0.001309329
2016年10月5日,611.8,609,613.7,608,23.40K,0.47%,-0.004576659
2016年10月4日,609,611.6,612.7,606.5,24.99K,-0.43%,0.004269294
2016年10月3日,611.6,610.7,613.2,608.5,21.95K,0.15%,-0.00147155
2016年10月2日,610.7,613.4,614.2,607.7,16.54K,-0.44%,0.004421156
2016年10月1日,613.4,608.1,615,607.1,16.93K,0.87%,-0.008640365
2016年9月30日,608.1,604.7,608.8,602.3,23.95K,0.57%,-0.005591186
2016年9月29日,604.7,604.7,607.2,602,25.32K,0.00%,0
2016年9月28日,604.7,605.5,606.9,602.6,18.94K,-0.13%,0.00132297
2016年9月27日,605.5,606.5,609,601.7,25.55K,-0.18%,0.001651528
2016年9月26日,606.5,601.5,608.5,598.2,27.51K,0.84%,-0.008244023
2016年9月25日,601.5,602.6,604.9,598.3,13.28K,-0.18%,0.001828761
2016年9月24日,602.6,602.9,605.9,600.5,13.47K,-0.05%,0.000497843
2016年9月23日,602.9,595.6,603.7,594.1,25.92K,1.22%,-0.012108144
2016年9月22日,595.6,597.2,599.8,592.8,22.44K,-0.26%,0.002686367
2016年9月21日,597.2,609.2,608.8,591.7,36.86K,-1.98%,0.020093771
2016年9月20日,609.2,609.8,611.3,605.9,22.61K,-0.10%,0.000984898
2016年9月19日,609.8,610.7,612.4,607,21.24K,-0.14%,0.001475894
2016年9月18日,610.7,607.1,612.4,605.2,16.33K,0.60%,-0.005894875
2016年9月17日,607.1,607.8,609.6,604.5,15.89K,-0.12%,0.001153023
2016年9月16日,607.8,608.1,610.4,605.2,21.85K,-0.05%,0.000493583
2016年9月15日,608.1,609.5,610.7,605.1,22.69K,-0.23%,0.002302253
2016年9月14日,609.5,608.6,612.2,606.4,24.24K,0.15%,-0.00147662
2016年9月13日,608.6,608,612,604.9,27.52K,0.10%,-0.000985869
2016年9月12日,608,605.6,610.6,603,27.95K,0.39%,-0.003947368
2016年9月11日,605.6,624.5,630.8,592.8,36.54K,-3.03%,0.031208719
2016年9月10日,624.5,623.2,627.5,621.1,15.28K,0.22%,-0.002081665
2016年9月9日,623.2,625.6,627.6,617.3,28.33K,-0.39%,0.003851091
2016年9月8日,625.6,613.2,629.3,611.3,36.33K,2.02%,-0.019820972
2016年9月7日,613.2,610.4,616.5,606.2,30.03K,0.45%,-0.00456621
2016年9月6日,610.4,605.8,612,603.5,24.33K,0.77%,-0.007536042
2016年9月5日,605.8,609.5,610.6,598.8,25.29K,-0.62%,0.006107626
2016年9月4日,609.5,598.8,615.2,590.8,30.69K,1.79%,-0.017555373
2016年9月3日,598.8,575.3,605,572.6,35.70K,4.09%,-0.039245157
2016年9月2日,575.3,572,577.6,569.3,26.61K,0.58%,-0.005736138
2016年9月1日,572,573.9,705,569.4,25.87K,-0.33%,0.003321678
2016年8月31日,573.9,577.3,578.3,571.7,24.93K,-0.60%,0.005924377
2016年8月30日,577.3,574.2,579.9,572.5,27.48K,0.54%,-0.005369825
2016年8月29日,574.2,575,578.6,571.4,23.86K,-0.13%,0.001393243
2016年8月28日,575,570.3,576.3,569.2,12.83K,0.81%,-0.008173913
2016年8月27日,570.3,579.4,580.4,567.3,18.69K,-1.56%,0.015956514
2016年8月26日,579.4,578,582.7,575.8,21.17K,0.24%,-0.002416293
2016年8月25日,578,579.7,580.7,570.8,32.73K,-0.29%,0.002941176
2016年8月24日,579.7,583.6,584.5,576.8,28.06K,-0.67%,0.006727618
2016年8月23日,583.6,587.5,589.9,578.6,32.08K,-0.67%,0.006682659
2016年8月22日,587.5,580.7,591.9,577.1,33.56K,1.17%,-0.011574468
2016年8月21日,580.7,582.6,585.3,577.8,14.16K,-0.33%,0.003271913
2016年8月20日,582.6,574.6,583.5,572.3,23.12K,1.40%,-0.013731548
2016年8月19日,574.6,573.4,577.9,566.3,25.53K,0.20%,-0.002088409
2016年8月18日,573.4,572.3,579.5,570.8,30.39K,0.18%,-0.001918382
2016年8月17日,572.3,580.2,581.1,568.7,32.76K,-1.35%,0.013803949
2016年8月16日,580.2,567,583.4,563.4,37.69K,2.34%,-0.022750776
2016年8月15日,567,569.1,575,559.3,33.77K,-0.37%,0.003703704
2016年8月14日,569.1,584.6,585.8,559.9,33.07K,-2.66%,0.027235987
2016年8月13日,584.6,587.1,590.1,582.8,19.30K,-0.43%,0.004276428
2016年8月12日,587.1,587.8,591.1,582.2,25.50K,-0.12%,0.001192301
2016年8月11日,587.8,590.9,599.2,585.4,39.83K,-0.52%,0.005273903
2016年8月10日,590.9,585.3,600.5,580.9,49.57K,0.97%,-0.009477069
2016年8月9日,585.3,589.2,591.2,581.1,25.97K,-0.68%,0.00666325
2016年8月8日,589.2,590.8,594.2,585.4,24.88K,-0.27%,0.002715547
2016年8月7日,590.8,586.5,596,580.9,26.20K,0.75%,-0.007278267
2016年8月6日,586.5,574.7,596.7,565.3,25.38K,2.05%,-0.020119352
2016年8月5日,574.7,576.2,580,565.8,27.89K,-0.27%,0.002610057
2016年8月4日,576.2,566.4,584.9,559.5,44.82K,1.73%,-0.017007983
2016年8月3日,566.4,513.4,573.1,514.1,85.93K,10.32%,-0.093573446
2016年8月2日,513.4,607,613.8,471.4,130.91K,-15.42%,0.182313985
2016年8月1日,607,621.9,627.9,603.5,66.66K,-2.39%,0.024546952
2016年7月31日,621.9,654.7,654.9,621.4,62.89K,-5.02%,0.052741598
2016年7月30日,654.7,655.4,657.5,652.1,19.35K,-0.11%,0.001069192
2016年7月29日,655.4,654.1,657.4,651,27.04K,0.20%,-0.001983522
2016年7月28日,654.1,654.5,658,650.8,28.11K,-0.06%,0.000611527
2016年7月27日,654.5,654.4,659.1,646,29.89K,0.02%,-0.000152788
2016年7月26日,654.4,654,657.8,643.5,49.39K,0.06%,-0.000611247
2016年7月25日,654,659.3,662.5,651.1,34.38K,-0.80%,0.008103976
2016年7月24日,659.3,655.2,664.2,651,29.82K,0.63%,-0.006218717
2016年7月23日,655.2,651.1,658.2,648,29.89K,0.62%,-0.006257631
2016年7月22日,651.1,664.6,669.4,645.7,65.90K,-2.03%,0.020734142
2016年7月21日,664.6,664.4,666.5,657.8,32.17K,0.03%,-0.000300933
2016年7月20日,664.4,671.1,672.3,659.5,37.56K,-1.00%,0.010084287
2016年7月19日,671.1,670.4,673.2,663.6,30.40K,0.11%,-0.001043064
2016年7月18日,670.4,676.3,680.4,664.6,42.58K,-0.88%,0.008800716
2016年7月17日,676.3,660.7,680.9,660.1,46.84K,2.37%,-0.023066686
2016年7月16日,660.7,664.2,665.4,655.7,20.39K,-0.53%,0.005297412
2016年7月15日,664.2,657.3,667.5,656.5,35.83K,1.06%,-0.010388437
2016年7月14日,657.3,661.2,661.9,646.3,48.20K,-0.59%,0.005933364
2016年7月13日,661.2,670.6,672,656,62.96K,-1.40%,0.014216576
2016年7月12日,670.6,646.7,673.2,644.6,66.59K,3.69%,-0.035639726
2016年7月11日,646.7,647.1,657.5,640,45.94K,-0.06%,0.000618525
2016年7月10日,647.1,651.8,652,636.8,29.26K,-0.72%,0.007263174
2016年7月9日,651.8,662.8,663.5,620.7,96.01K,-1.65%,0.016876342
2016年7月8日,662.8,635.3,663.4,630.2,75.89K,4.33%,-0.041490646
2016年7月7日,635.3,672.7,676.2,605,153.61K,-5.57%,0.058869825
2016年7月6日,672.7,663.7,678.4,662.2,47.05K,1.36%,-0.013378921
2016年7月5日,663.7,675.2,679.2,657.3,54.64K,-1.70%,0.017327106
2016年7月4日,675.2,661.6,679,644,63.91K,2.04%,-0.02014218
2016年7月3日,661.6,698.1,701.5,644.6,99.27K,-5.22%,0.055169287
2016年7月2日,698.1,674.6,700.5,671.5,67.38K,3.48%,-0.033662799
2016年7月1日,674.6,670,685.1,661.1,92.23K,0.68%,-0.006818856
2016年6月30日,670,636.5,673,631.2,88.20K,5.26%,-0.05
2016年6月29日,636.5,644.9,645.9,621.8,80.22K,-1.29%,0.013197172
2016年6月28日,644.9,644.7,659.3,634.3,76.66K,0.04%,-0.000310126
2016年6月27日,644.7,625.4,650.3,615.2,99.81K,3.08%,-0.029936405
2016年6月26日,625.4,663.5,665.2,609.9,88.93K,-5.74%,0.060921011
2016年6月25日,663.5,656.9,688.1,640.8,100.46K,1.01%,-0.009947249
2016年6月24日,656.9,620.8,687.4,616.4,196.69K,5.81%,-0.054955092
2016年6月23日,620.8,590.6,629.5,539.3,261.74K,5.13%,-0.048646907
2016年6月22日,590.6,667.4,677.8,586.6,202.32K,-11.51%,0.13003725
2016年6月21日,667.4,734,732.2,626,248.08K,-9.07%,0.099790231
2016年6月20日,734,761,764.6,717.4,112.29K,-3.56%,0.036784741
2016年6月19日,761,753.8,765.1,740.4,60.45K,0.96%,-0.009461235
2016年6月18日,753.8,743.9,776,727.1,120.53K,1.33%,-0.013133457
2016年6月17日,743.9,761.2,771.9,704.2,215.87K,-2.27%,0.023255814
2016年6月16日,761.2,690.8,769.7,687.4,229.57K,10.20%,-0.092485549
2016年6月15日,690.8,685.1,695.1,670.5,78.62K,0.82%,-0.008251303
2016年6月14日,685.1,700.1,702.5,654.7,135.65K,-2.13%,0.021894614
2016年6月13日,700.1,666.5,718.2,652.8,216.73K,5.03%,-0.047993144
2016年6月12日,666.5,591.6,683.8,592.8,217.38K,12.67%,-0.112378095
2016年6月11日,591.6,577.9,592.6,576.3,42.22K,2.37%,-0.023157539
2016年6月10日,577.9,574.7,579.3,571.1,45.50K,0.56%,-0.00553729
2016年6月9日,574.7,580.5,580.7,569.3,48.61K,-1.00%,0.010092222
2016年6月8日,580.5,575.6,582.4,567.8,49.60K,0.86%,-0.008440999
2016年6月7日,575.6,583.6,591.3,543.6,84.69K,-1.37%,0.013898541
2016年6月6日,583.6,574.9,586.7,571.7,63.68K,1.51%,-0.014907471
2016年6月5日,574.9,572,583.6,567.8,64.52K,0.52%,-0.005044356
2016年6月4日,572,567,592.7,560.9,87.41K,0.87%,-0.008741259
2016年6月3日,567,537.1,573.7,534.3,106.25K,5.57%,-0.052733686
2016年6月2日,537.1,537.4,541.5,530.5,52.88K,-0.06%,0.000558555
2016年6月1日,537.4,528.9,542.3,521.3,72.41K,1.60%,-0.015816896
2016年5月31日,528.9,532.3,546.9,513.2,114.08K,-0.63%,0.006428436
2016年5月30日,532.3,516,544.2,512.8,77.53K,3.14%,-0.03062183
2016年5月29日,516,524.2,548,493.2,152.57K,-1.56%,0.015891473
2016年5月28日,524.2,474,531.8,467,150.17K,10.58%,-0.095764975
2016年5月27日,474,453.3,479.2,452.7,135.68K,4.58%,-0.043670886
2016年5月26日,453.3,449.8,454.3,447.7,37.72K,0.78%,-0.007721156
2016年5月25日,449.8,446.1,451.2,445.4,37.72K,0.82%,-0.008225878
2016年5月24日,446.1,443.7,447.9,442,33.22K,0.55%,-0.00537996
2016年5月23日,443.7,439.6,445,438.2,35.90K,0.93%,-0.009240478
2016年5月22日,439.6,443.6,444.2,436.9,28.74K,-0.91%,0.009099181
2016年5月21日,443.6,442.1,445.2,439.7,23.00K,0.35%,-0.003381425
2016年5月20日,442.1,442.7,447.8,435.4,48.43K,-0.12%,0.001357159
2016年5月19日,442.7,454.2,455.2,441.1,59.39K,-2.55%,0.02597696
2016年5月18日,454.2,453.3,456.6,452.4,32.61K,0.21%,-0.001981506
2016年5月17日,453.3,454.9,456.3,451.7,34.63K,-0.36%,0.003529671
2016年5月16日,454.9,458.1,459.6,450.7,36.60K,-0.71%,0.007034513
2016年5月15日,458.1,456.4,460.3,455,21.20K,0.37%,-0.00371098
2016年5月14日,456.4,455.4,457.7,453.6,20.36K,0.23%,-0.00219106
2016年5月13日,455.4,454.4,457.2,451.5,32.39K,0.22%,-0.002195872
2016年5月12日,454.4,452.5,455.3,448.4,49.19K,0.43%,-0.004181338
2016年5月11日,452.5,449.4,456.1,449.6,39.97K,0.70%,-0.006850829
2016年5月10日,449.4,460.4,462.1,446.8,59.99K,-2.41%,0.024477081
2016年5月9日,460.4,457.9,464.2,455.4,48.42K,0.56%,-0.005430061
2016年5月8日,457.9,458.5,460.2,454.9,27.60K,-0.13%,0.00131033
2016年5月7日,458.5,459.6,460.6,454.6,30.97K,-0.24%,0.002399128
2016年5月6日,459.6,448.1,461.5,445.7,68.43K,2.56%,-0.025021758
2016年5月5日,448.1,445.8,449.2,444.4,41.89K,0.51%,-0.005132783
2016年5月4日,445.8,450.3,450.9,444.2,39.44K,-0.99%,0.010094213
2016年5月3日,450.3,444.2,451.5,441.5,49.75K,1.37%,-0.013546525
2016年5月2日,444.2,452.2,453.9,440.2,73.85K,-1.78%,0.018009905
2016年5月1日,452.2,448.5,454.2,447.5,21.75K,0.83%,-0.00818222
2016年4月30日,448.5,455,456.9,446.6,35.31K,-1.42%,0.014492754
2016年4月29日,455,448.5,456.3,445.2,44.85K,1.45%,-0.014285714
2016年4月28日,448.5,447,450.1,433.9,81.94K,0.33%,-0.003344482
2016年4月27日,447,466,467.9,444.6,90.81K,-4.08%,0.042505593
2016年4月26日,466,461.7,468.9,459.2,67.56K,0.92%,-0.009227468
2016年4月25日,461.7,457.6,466.2,451.8,81.66K,0.91%,-0.008880225
2016年4月24日,457.6,450.1,461.8,447.9,74.43K,1.66%,-0.01638986
2016年4月23日,450.1,445.3,451.5,443.1,42.36K,1.08%,-0.010664297
2016年4月22日,445.3,449.3,450.2,441.9,49.71K,-0.90%,0.008982708
2016年4月21日,449.3,441.2,450.8,439.5,63.13K,1.85%,-0.018028044
2016年4月20日,441.2,434.9,442.9,432.5,74.36K,1.43%,-0.014279238
2016年4月19日,434.9,427.7,436.1,426.8,45.68K,1.69%,-0.01655553
2016年4月18日,427.7,426.3,429.1,424.4,32.58K,0.34%,-0.003273322
2016年4月17日,426.3,430,430.6,423.8,25.59K,-0.88%,0.008679334
2016年4月16日,430,428.7,432,426.8,29.02K,0.32%,-0.003023256
2016年4月15日,428.7,424,429.5,423.3,54.12K,1.10%,-0.010963378
2016年4月14日,424,423.5,425.4,421.8,30.66K,0.13%,-0.001179245
2016年4月13日,423.5,424.7,426.6,421.4,38.09K,-0.30%,0.00283353
2016年4月12日,424.7,421.4,426.7,420.7,57.71K,0.79%,-0.007770191
2016年4月11日,421.4,420.3,422.4,418.1,36.39K,0.28%,-0.002610346
2016年4月10日,420.3,418,421.6,416.7,23.30K,0.53%,-0.005472282
2016年4月9日,418,417.7,418.9,412.4,29.43K,0.09%,-0.000717703
2016年4月8日,417.7,420.1,423.5,415.5,46.95K,-0.58%,0.005745751
2016年4月7日,420.1,421.3,422,417.9,36.06K,-0.27%,0.002856463
2016年4月6日,421.3,422.1,422.8,419.5,32.67K,-0.19%,0.001898884
2016年4月5日,422.1,419.3,423.7,418,40.89K,0.65%,-0.006633499
2016年4月4日,419.3,419.1,420.4,416.2,33.44K,0.06%,-0.000476985
2016年4月3日,419.1,418.5,420.2,417,22.80K,0.13%,-0.001431639
2016年4月2日,418.5,415.6,420.1,415.1,31.31K,0.69%,-0.00692951
2016年4月1日,415.6,415.7,416.9,412.8,38.22K,0.00%,0.000240616
2016年3月31日,415.7,412.4,417.2,411.5,41.84K,0.78%,-0.007938417
2016年3月30日,412.4,415,416.2,408.4,43.28K,-0.62%,0.006304559
2016年3月29日,415,422.2,424.5,406.4,69.11K,-1.71%,0.017349398
2016年3月28日,422.2,424.6,425.4,419.7,43.45K,-0.56%,0.00568451
2016年3月27日,424.6,416.5,427.4,415.5,61.72K,1.94%,-0.019076778
2016年3月26日,416.5,415.7,417.7,413.9,28.06K,0.19%,-0.001920768
2016年3月25日,415.7,414.7,417.3,412.4,34.59K,0.23%,-0.002405581
2016年3月24日,414.7,417,417.7,412.9,38.83K,-0.54%,0.005546178
2016年3月23日,417,416.2,419.6,414.2,40.61K,0.19%,-0.001918465
2016年3月22日,416.2,411.1,417.9,410.8,49.08K,1.24%,-0.012253724
2016年3月21日,411.1,411.5,413.1,407.3,43.16K,-0.10%,0.000972999
2016年3月20日,411.5,408.7,413.5,407.2,30.54K,0.69%,-0.006804374
2016年3月19日,408.7,408.2,410.5,402.1,37.00K,0.13%,-0.001223391
2016年3月18日,408.2,418.2,418.6,402.5,66.07K,-2.39%,0.024497795
2016年3月17日,418.2,415.9,419.6,415.3,43.82K,0.54%,-0.005499761
2016年3月16日,415.9,415.1,417,413.3,44.54K,0.19%,-0.001923539
2016年3月15日,415.1,414.3,417.4,412.3,48.60K,0.20%,-0.001927246
2016年3月14日,414.3,412.4,416.1,411.2,49.33K,0.46%,-0.004586049
2016年3月13日,412.4,410.4,415.9,409.6,34.98K,0.50%,-0.004849661
2016年3月12日,410.4,419.1,420.7,407,59.64K,-2.09%,0.02119883
2016年3月11日,419.1,415.8,422.4,415.1,60.63K,0.79%,-0.007874016
2016年3月10日,415.8,412.8,417.5,410.3,55.74K,0.74%,-0.007215007
2016年3月9日,412.8,411.9,414.9,408.9,50.92K,0.21%,-0.002180233
2016年3月8日,411.9,414.9,416.7,408.4,53.77K,-0.72%,0.007283321
2016年3月7日,414.9,406,416.6,402,61.77K,2.19%,-0.021450952
2016年3月6日,406,399,412,393.1,62.59K,1.74%,-0.017241379
2016年3月5日,399,409.5,410.1,386.9,129.15K,-2.56%,0.026315789
2016年3月4日,409.5,419.6,423.4,407.2,75.27K,-2.40%,0.024664225
2016年3月3日,419.6,425.4,425.8,414.9,78.90K,-1.36%,0.013822688
2016年3月2日,425.4,434,435.9,423.9,57.75K,-2.00%,0.020216267
2016年3月1日,434,436.2,439,428.5,67.46K,-0.50%,0.005069124
2016年2月29日,436.2,432.5,441.3,429.8,68.77K,0.86%,-0.008482348
2016年2月28日,432.5,431.3,435.6,421.2,50.85K,0.27%,-0.002774566
2016年2月27日,431.3,427.3,434.1,427.3,42.79K,0.93%,-0.009274287
2016年2月26日,427.3,423.5,427.6,419.1,53.21K,0.91%,-0.008893049
2016年2月25日,423.5,422.7,427.2,417.5,53.54K,0.18%,-0.00188902
2016年2月24日,422.7,419.9,425.2,410.4,66.51K,0.67%,-0.006624083
2016年2月23日,419.9,437.8,440.8,414.4,93.72K,-4.09%,0.042629197
2016年2月22日,437.8,437.9,440.2,431.3,56.01K,-0.02%,0.000228415
2016年2月21日,437.9,440.1,447.6,425.5,100.50K,-0.50%,0.005023978
2016年2月20日,440.1,420,442.7,419.5,111.63K,4.78%,-0.045671438
2016年2月19日,420,421.4,424.3,416.4,52.24K,-0.34%,0.003333333
2016年2月18日,421.4,417.1,425.5,414.8,77.35K,1.02%,-0.010204082
2016年2月17日,417.1,406.4,421.5,405,90.32K,2.64%,-0.025653321
2016年2月16日,406.4,401.1,409.8,398,68.33K,1.33%,-0.013041339
2016年2月15日,401.1,405.5,410.9,396.6,86.13K,-1.09%,0.010969833
2016年2月14日,405.5,390.1,405.9,390.1,73.59K,3.95%,-0.037977805
2016年2月13日,390.1,384,392.6,383.3,48.16K,1.58%,-0.015637016
2016年2月12日,384,379.5,386.4,379.3,53.76K,1.21%,-0.01171875
2016年2月11日,379.5,381.9,383.2,372.8,62.65K,-0.64%,0.006324111
2016年2月10日,381.9,375.3,385.4,374.1,97.49K,1.75%,-0.017282011
2016年2月9日,375.3,372.6,377.6,371.4,55.36K,0.72%,-0.007194245
2016年2月8日,372.6,377.9,380.9,372.1,62.24K,-1.40%,0.014224369
2016年2月7日,377.9,376.7,382.6,375.3,40.74K,0.33%,-0.003175443
2016年2月6日,376.7,386.5,386.4,372.9,78.85K,-2.53%,0.026015397
2016年2月5日,386.5,390.6,391.1,384.5,60.92K,-1.07%,0.010608021
2016年2月4日,390.6,368,391.8,368,101.87K,6.15%,-0.057859703
2016年2月3日,368,373.9,375.9,366.2,59.81K,-1.58%,0.016032609
2016年2月2日,373.9,372.2,376.6,371.4,50.98K,0.47%,-0.00454667
2016年2月1日,372.2,369.8,379.8,365.3,74.35K,0.63%,-0.006448146
2016年1月31日,369.8,377.8,380.5,366.9,39.02K,-2.10%,0.021633315
2016年1月30日,377.8,380.3,381.8,375,36.18K,-0.67%,0.006617258
2016年1月29日,380.3,379.7,385.8,363.5,138.46K,0.16%,-0.001577702
2016年1月28日,379.7,395,395.4,376.7,77.32K,-3.88%,0.04029497
2016年1月27日,395,389.8,397.4,389.4,43.68K,1.34%,-0.013164557
2016年1月26日,389.8,392.8,397.7,387.9,56.81K,-0.76%,0.007696254
2016年1月25日,392.8,402.1,403.8,386.9,67.66K,-2.33%,0.023676171
2016年1月24日,402.1,388.6,405.4,385.5,64.54K,3.48%,-0.033573738
2016年1月23日,388.6,382.6,395.4,380.3,61.38K,1.56%,-0.015440041
2016年1月22日,382.6,410.2,411.5,374.9,144.86K,-6.73%,0.072138003
2016年1月21日,410.2,414.6,423.4,403.9,89.94K,-1.05%,0.010726475
2016年1月20日,414.6,379.5,425.7,374,190.32K,9.26%,-0.084659913
2016年1月19日,379.5,384.4,386.7,375.9,66.35K,-1.29%,0.012911726
2016年1月18日,384.4,382.5,387.3,373.2,69.30K,0.50%,-0.004942768
2016年1月17日,382.5,385,390.7,377.7,66.09K,-0.67%,0.006535948
2016年1月16日,385,372.3,386.7,350.4,183.96K,3.43%,-0.032987013
2016年1月15日,372.3,429.1,430.1,364.7,268.14K,-13.25%,0.152565136
2016年1月14日,429.1,432.2,433.7,427,46.17K,-0.71%,0.007224423
2016年1月13日,432.2,445,443.7,420.4,92.04K,-2.89%,0.029615919
2016年1月12日,445,447.7,448.4,443.1,44.59K,-0.60%,0.006067416
2016年1月11日,447.7,446.2,451.1,441.8,56.59K,0.34%,-0.003350458
2016年1月10日,446.2,448.3,448.9,438.6,44.46K,-0.47%,0.00470641
2016年1月9日,448.3,452.9,454.5,444.9,39.81K,-1.01%,0.010260986
2016年1月8日,452.9,457,462.9,446.5,91.31K,-0.91%,0.009052771
2016年1月7日,457,430.8,457.5,428.5,130.20K,6.09%,-0.057330416
2016年1月6日,430.8,431.2,432.1,425,43.43K,-0.09%,0.000928505
2016年1月5日,431.2,433.3,435.3,428.9,45.03K,-0.49%,0.00487013
2016年1月4日,433.3,430.7,435.3,428.6,53.01K,0.61%,-0.006000462
2016年1月3日,430.7,433.7,434.1,423.1,54.83K,-0.70%,0.006965405
2016年1月2日,433.7,434,437.4,430.7,33.57K,-0.06%,0.000691722
2016年1月1日,434,430,438,425.9,46.97K,0.94%,-0.00921659
2015年12月31日,430,427.1,433.1,417.1,65.21K,0.66%,-0.006744186
2015年12月30日,427.1,431.9,435,420.8,68.27K,-1.10%,0.011238586
2015年12月29日,431.9,421.8,433.6,419.3,70.65K,2.41%,-0.023385043
2015年12月28日,421.8,422.4,429.9,417.1,68.35K,-0.15%,0.001422475
2015年12月27日,422.4,415.4,425.5,406.1,67.58K,1.69%,-0.01657197
2015年12月26日,415.4,454,456.5,400.5,208.58K,-8.52%,0.092922484
2015年12月25日,454,453,457.4,449.5,42.39K,0.24%,-0.002202643
2015年12月24日,453,442.4,460.6,441.8,79.60K,2.38%,-0.023399558
2015年12月23日,442.4,437,444.8,434.3,63.25K,1.24%,-0.012206148
2015年12月22日,437,437.6,443.2,433.3,65.79K,-0.13%,0.001372998
2015年12月21日,437.6,441.8,445.5,424,121.99K,-0.95%,0.009597806
2015年12月20日,441.8,461.2,462.8,431.1,121.53K,-4.21%,0.043911272
2015年12月19日,461.2,463.2,466,452.3,61.31K,-0.43%,0.004336513
2015年12月18日,463.2,455.5,466.1,453.5,83.41K,1.68%,-0.016623489
2015年12月17日,455.5,454,458.4,447.3,64.58K,0.34%,-0.003293085
2015年12月16日,454,462.6,465.2,437.4,185.22K,-1.87%,0.018942731
2015年12月15日,462.6,442,464.2,440.7,107.06K,4.67%,-0.044530912
2015年12月14日,442,434.7,449.5,428.8,218.92K,1.68%,-0.016515837
2015年12月13日,434.7,432.3,441,420.8,64.14K,0.56%,-0.005521049
2015年12月12日,432.3,449.8,467.7,403.7,211.44K,-3.90%,0.040481147
2015年12月11日,449.8,415.5,453.4,413.7,175.06K,8.26%,-0.076256114
2015年12月10日,415.5,416,420.4,409.5,71.66K,-0.12%,0.001203369
2015年12月9日,416,410.7,424.6,403.3,147.36K,1.30%,-0.012740385
2015年12月8日,410.7,394.3,411.1,388,74.36K,4.16%,-0.039931824
2015年12月7日,394.3,393.4,398.7,381.7,96.75K,0.23%,-0.002282526
2015年12月6日,393.4,386.7,402.2,382.6,131.86K,1.73%,-0.017031012
2015年12月5日,386.7,361.7,390.3,361.5,115.20K,6.92%,-0.064649599
2015年12月4日,361.7,360.3,364,354.3,60.55K,0.38%,-0.003870611
2015年12月3日,360.3,360,371.4,355.5,87.23K,0.09%,-0.000832639
2015年12月2日,360,361.8,363.4,347.2,92.45K,-0.50%,0.005
2015年12月1日,361.8,378,379,353.7,111.91K,-4.28%,0.044776119
2015年11月30日,378,370.8,382.6,367.9,129.77K,1.92%,-0.019047619
2015年11月29日,370.8,355.8,372.8,354.5,67.37K,4.22%,-0.040453074
2015年11月28日,355.8,359.5,360.1,350.5,56.17K,-1.03%,0.010399101
2015年11月27日,359.5,353.7,363.9,345.1,103.48K,1.63%,-0.016133519
2015年11月26日,353.7,327.5,368.9,327.4,211.38K,8.01%,-0.074074074
2015年11月25日,327.5,318.4,330,315.7,77.68K,2.88%,-0.02778626
2015年11月24日,318.4,322.1,323.3,315.5,50.66K,-1.17%,0.011620603
2015年11月23日,322.1,322.8,325,319.9,42.73K,-0.20%,0.002173238
2015年11月22日,322.8,324.7,326.9,319.4,36.75K,-0.59%,0.005885998
2015年11月21日,324.7,321.1,328.4,318.4,45.00K,1.11%,-0.011087157
2015年11月20日,321.1,325,327.1,309.5,109.99K,-1.19%,0.012145749
2015年11月19日,325,335.9,335.6,323.4,86.38K,-3.26%,0.033538462
2015年11月18日,335.9,333.9,337.4,329.4,78.36K,0.60%,-0.005954153
2015年11月17日,333.9,330.2,342.9,328.1,98.25K,1.12%,-0.011081162
2015年11月16日,330.2,317.5,332,314.1,87.14K,4.02%,-0.038461538
2015年11月15日,317.5,331.8,334.8,314.2,88.32K,-4.32%,0.04503937
2015年11月14日,331.8,333.8,369.8,326.4,71.11K,-0.60%,0.006027728
2015年11月13日,333.8,333.9,341.8,323.9,97.25K,-0.02%,0.000299581
2015年11月12日,333.9,304.7,346.1,306.1,164.61K,9.56%,-0.087451333
2015年11月11日,304.7,336.7,341.8,292.4,263.96K,-9.50%,0.105021332
2015年11月10日,336.7,380.2,381.4,323.2,210.29K,-11.45%,0.129195129
2015年11月9日,380.2,371.6,385.1,360.2,125.54K,2.33%,-0.022619674
2015年11月8日,371.6,385.1,389.8,365.5,94.36K,-3.51%,0.036329386
2015年11月7日,385.1,369.8,391.8,369,103.03K,4.13%,-0.03972994
2015年11月6日,369.8,382.7,396.4,348.8,255.28K,-3.37%,0.034883721
2015年11月5日,382.7,400.9,447.2,366.1,302.95K,-4.54%,0.047556833
2015年11月4日,400.9,396.5,492.8,368.6,517.73K,1.11%,-0.010975306
2015年11月3日,396.5,359.3,416.8,354.6,421.99K,10.36%,-0.093820933
2015年11月2日,359.3,323,365.8,319.8,223.10K,11.25%,-0.10102978
2015年11月1日,323,311.2,324.3,304.7,73.71K,3.76%,-0.036532508
2015年10月31日,311.2,327.1,333.3,304.6,105.83K,-4.85%,0.051092545
2015年10月30日,327.1,313.6,334.9,310.8,156.49K,4.30%,-0.041271782
2015年10月29日,313.6,303.5,318.5,300.2,138.92K,3.32%,-0.032206633
2015年10月28日,303.5,294.7,307.5,294,116.41K,3.01%,-0.028995058
2015年10月27日,294.7,285.1,298.4,285.1,105.87K,3.34%,-0.032575501
2015年10月26日,285.1,287.9,287.6,279.6,73.21K,-0.94%,0.009821115
2015年10月25日,287.9,282.6,295.6,281.8,113.90K,1.88%,-0.01840917
